,r,p-val
LH_Vis_1,-0.08341648177889058,0.7502629511965184
LH_Vis_2,-0.00581467159817402,0.9823296089486437
LH_Vis_3,-0.0609600947907564,0.8162154425048197
LH_Vis_4,0.18731425466957066,0.4715865917612345
LH_Vis_5,0.1635304753110991,0.530567311671935
LH_Vis_6,0.3540499294291246,0.16324292249802996
LH_Vis_7,0.1730674429839236,0.5065216816487358
LH_Vis_8,0.08008334089715075,0.7599607914070323
LH_Vis_9,0.18118639310449966,0.48646508197511906
LH_Vis_10,0.03226523020669033,0.9021617816158445
LH_Vis_11,0.034754757262703904,0.8946508033531425
LH_Vis_12,0.274265118542974,0.2867454754426852
LH_Vis_13,0.23255754401516038,0.36906408635178756
LH_Vis_14,0.04188482672184476,0.8731879959227133
LH_Vis_15,0.4037445144744393,0.10801576786716816
LH_Vis_16,-0.049607958033194,0.8500343881736423
LH_Vis_17,-0.19564644051228994,0.4517231092726206
LH_Vis_18,0.24989893911840064,0.33337207725330853
LH_Vis_19,0.13780225271134056,0.59789973978147
LH_Vis_20,0.1251560416650259,0.6322125717280507
LH_Vis_21,0.5309702753675108,0.028301351665408696
LH_Vis_22,-0.24507847907471655,0.3430863952011156
LH_Vis_23,-0.1064006271793277,0.6844175728187181
LH_Vis_24,0.7001474991455974,0.0017509014381734392
LH_Vis_25,0.07300524764528206,0.7806655322143707
LH_Vis_26,0.025223120482933518,0.9234485957246121
LH_Vis_27,0.4465875692226618,0.07232671106942809
LH_Vis_28,0.37459785670408313,0.1384917390601775
LH_Vis_29,0.5958352493200023,0.01160326327577317
LH_Vis_30,0.33450554277149924,0.1894055724181379
LH_Vis_31,-0.143695554982055,0.5821736400680524
LH_Vis_32,-0.03959654087860246,0.8800677429709769
LH_Vis_33,0.5490819845169913,0.022442742719530333
LH_Vis_34,0.47379778009131107,0.054701493982647495
LH_Vis_35,-0.06943221657613104,0.7911714057053869
LH_Vis_36,0.509213568092657,0.0368224769935027
LH_Vis_37,-0.006097208930013107,0.9814711323439178
LH_Vis_38,0.39822837288726515,0.11338060362409447
LH_Vis_39,0.44401008243126466,0.07418906132727782
LH_Vis_40,0.3611013682157254,0.15443551764871774
LH_Vis_41,0.3035317214070351,0.23626742116714225
LH_Vis_42,0.5711545472052685,0.016628607530850215
LH_Vis_43,0.09320266870196972,0.7219982413379189
LH_Vis_44,0.4409274935230415,0.07646214029267952
LH_Vis_45,0.6218366801887565,0.00769672823339059
LH_Vis_46,0.3922977543651762,0.11935521680439015
LH_Vis_47,-0.030348774153934617,0.9079491698519281
LH_Vis_48,0.6046418846444886,0.010135630150768748
LH_Vis_49,0.3868469162179077,0.12503816807408163
LH_Vis_50,0.485758971380243,0.04806207179950992
LH_Vis_51,-0.011416107474205189,0.9653144802702551
LH_Vis_52,0.42987521949974217,0.08503046438257264
LH_Vis_53,0.2829518087737547,0.2711315643509853
LH_Vis_54,0.25771802650471404,0.3179573819525669
LH_Vis_55,0.36124530232817126,0.1542591806013828
LH_Vis_56,0.27357076972274724,0.28801650896501696
LH_Vis_57,0.11060003818227213,0.6726005492128644
LH_Vis_58,0.4480375721332313,0.07129419878666328
