,r,p-val
LH_Vis_1,0.024467850928890443,0.8873587890387552
LH_Vis_2,-0.013756348167394732,0.9365324649890407
LH_Vis_3,-0.16052537092852945,0.34966184099803377
LH_Vis_4,-0.1295161741533475,0.45153920662742664
LH_Vis_5,0.02426159868894659,0.8883023262464286
LH_Vis_6,0.22221294229247754,0.19271809715408605
LH_Vis_7,0.22320434110932513,0.19068927251854118
LH_Vis_8,-0.33352882441658854,0.04682504123436705
LH_Vis_9,0.14668200175567114,0.39329167329887327
LH_Vis_10,0.028196051469719575,0.8703309982375405
LH_Vis_11,-0.205024069250057,0.230324296625519
LH_Vis_12,-0.1460677829410327,0.3952975822471875
LH_Vis_13,-0.07530555791222597,0.6624681177129561
LH_Vis_14,-0.12049321701627512,0.483926254921036
LH_Vis_15,0.0027238998366685206,0.9874205809015791
LH_Vis_16,-0.14727415389407733,0.39136341670122043
LH_Vis_17,-0.023851674586521578,0.8901780438837735
LH_Vis_18,0.07679941850602084,0.6561804767087668
LH_Vis_19,-0.1368455138896056,0.4261189124440088
LH_Vis_20,0.13631030801244348,0.4279477086124259
LH_Vis_21,-0.07118131392015031,0.6799442480852673
LH_Vis_22,0.0868229392488599,0.6146089804357324
LH_Vis_23,-0.006888718039880631,0.9681935542453601
LH_Vis_24,-0.16865907660486099,0.32545561982105764
LH_Vis_25,-0.048317123095015735,0.779604117845039
LH_Vis_26,-0.12401810160875634,0.47113288270220044
LH_Vis_27,-0.07051077169400023,0.6828014966278815
LH_Vis_28,0.0673978577102071,0.6961223212682646
LH_Vis_29,-0.250153358436331,0.14116659384530653
LH_Vis_30,-0.06179256603311727,0.720333416533036
LH_Vis_31,0.09411615370064087,0.5850782057273223
LH_Vis_32,-0.09011558986970451,0.6011990274686676
LH_Vis_33,-0.2060863839578605,0.22786532672835857
LH_Vis_34,-0.23697519277763043,0.16404792070452281
LH_Vis_35,-0.10011312888085128,0.5612792548033984
LH_Vis_36,-0.25824702377272507,0.12832847327112118
LH_Vis_37,-0.25005530409275095,0.14132769815641855
LH_Vis_38,-0.17444232534833945,0.308894523780629
LH_Vis_39,-0.05522586130486527,0.7490401068257628
LH_Vis_40,0.04761881956650925,0.7827124234781392
LH_Vis_41,0.11602863013473237,0.5003848586245493
LH_Vis_42,-0.33372964896600743,0.046684656402378885
LH_Vis_43,-0.043131098266335474,0.8027654622756126
LH_Vis_44,-0.11604028632258033,0.5003415224857751
LH_Vis_45,-0.039993003357648764,0.8168626890059458
LH_Vis_46,-0.2881091092979697,0.08838262400733427
LH_Vis_47,-0.016196406483174518,0.9253038884328317
LH_Vis_48,-0.15548883003561512,0.36518320676645666
LH_Vis_49,0.0500324512579302,0.7719831728189943
LH_Vis_50,-0.3142629254738202,0.0619522242712806
LH_Vis_51,-0.14260117928779353,0.40672901087034585
LH_Vis_52,-0.09952151061364431,0.5636070640440112
LH_Vis_53,0.24690599788888198,0.14657407173679765
LH_Vis_54,-0.17573803074871108,0.3052584256955112
LH_Vis_55,-0.24205346460261298,0.1549341718108754
LH_Vis_56,-0.21785050276704085,0.20182542887974766
LH_Vis_57,-0.07738293972670687,0.6537307175648983
LH_Vis_58,-0.2912823507272674,0.08477760233303741
LH_Vis_59,0.05438946309284156,0.7527213529617175
LH_Vis_60,-0.012123236169151869,0.9440545371162878
LH_Vis_61,0.14873251205312735,0.38663792356115345
LH_Vis_62,0.08632492639857312,0.6166481343498508
LH_Vis_63,0.08979838139886785,0.6024854150579948
LH_Vis_64,-0.16506585649888755,0.33601774493181646
LH_Vis_65,0.08543540800223237,0.6202973685487971
LH_Vis_66,-0.13092408148407703,0.44659361338294257
LH_Vis_67,-0.17707422138168524,0.30153724137818894
LH_Vis_68,-0.0751867715704122,0.6629690716939117
LH_Vis_69,0.07240628138663258,0.6747358790960712
LH_Vis_70,-0.22110071062755227,0.19501217345356286
LH_Vis_71,-0.14402679334662835,0.4020053006334936
LH_Vis_72,-0.2068554254202564,0.22609639186447547
LH_Vis_73,-0.04474071993181541,0.7955579975705656
LH_Vis_74,-0.1209947000293565,0.48209524345882704
LH_Vis_75,0.08500181560997806,0.6220794233753429
LH_Vis_76,0.08281694772739871,0.6310912369885955
LH_Vis_77,-0.12142535613001562,0.4805257112385686
LH_Vis_78,-0.005709752475059899,0.9736349613803705
LH_Vis_79,-0.029044283826658156,0.8664645967679387
LH_Vis_80,-0.04287546294046925,0.8039116227973773
LH_Vis_81,-0.16499476265086532,0.33622882421879074
LH_SomMot_1,-0.032121606397173506,0.8524638229559758
LH_SomMot_2,-0.022751810937710358,0.8952136392144249
LH_SomMot_3,-0.16615388600278383,0.3327975275522441
LH_SomMot_4,-0.1526341317551515,0.3741601708360789
LH_SomMot_5,0.003247182590382364,0.9850042246516904
LH_SomMot_6,0.02038231259875371,0.9060755686393548
LH_SomMot_7,-0.160514070654814,0.3496962113493678
LH_SomMot_8,0.010259046920204015,0.9526467357708661
LH_SomMot_9,-0.03413038576256134,0.8433481783075203
LH_SomMot_10,-0.032775509637616274,0.8494943479601171
LH_SomMot_11,-0.00799650077814638,0.9630819690274139
LH_SomMot_12,-0.0657359166672094,0.7032712612451513
LH_SomMot_13,0.08172971903030095,0.6355953776250638
LH_SomMot_14,-0.021935254938589197,0.8989547652189076
LH_SomMot_15,-0.1128688244639464,0.5122023243915756
LH_SomMot_16,-0.058415919676937156,0.7350503897690805
LH_SomMot_17,-0.20060192512884742,0.24075361838779943
LH_SomMot_18,0.005247420016584223,0.9757691476963966
LH_SomMot_19,-0.042153936014798755,0.8071488094150613
LH_SomMot_20,0.05050421544092481,0.7698908411641815
LH_SomMot_21,-0.17737087581135452,0.300715012502018
LH_SomMot_22,-0.10165939783069725,0.5552163035688882
LH_SomMot_23,0.08384429387165689,0.6268471640761042
LH_SomMot_24,-0.097945700790778,0.5698289033455917
LH_SomMot_25,-0.10518196898131474,0.5415195107960349
LH_SomMot_26,-0.003766639267169251,0.9826056659263049
LH_SomMot_27,-0.11144774831030435,0.5175619890970433
LH_SomMot_28,-0.19744265332926078,0.24839616428451866
LH_SomMot_29,0.19683395118368105,0.24988707820205655
LH_SomMot_30,0.09193235356046009,0.5938543758070792
LH_SomMot_31,0.030862382195411646,0.8581877492658558
LH_SomMot_32,-0.011498428909063635,0.9469336791951908
LH_SomMot_33,0.33348175477252895,0.04685799391522673
LH_SomMot_34,0.31650046864805015,0.06001905308805995
LH_SomMot_35,0.2129126390674392,0.21249067688384765
LH_SomMot_36,0.28061898535222995,0.09735935536883822
LH_SomMot_37,0.4364724494168746,0.0077826153709161005
LH_SomMot_38,0.19969114086307363,0.2429404612996263
LH_SomMot_39,0.1504012154646476,0.38127185963525967
LH_SomMot_40,0.19734032801608767,0.24864637652940272
LH_SomMot_41,0.12477112693517704,0.4684231220048809
LH_SomMot_42,0.03482379547174288,0.8402061387297192
LH_SomMot_43,0.21265860535517034,0.21304967574673736
LH_SomMot_44,0.08272761328007237,0.631460839055871
LH_SomMot_45,0.16364371260284724,0.34025560085236095
LH_SomMot_46,0.13324090453138265,0.43851973146300893
LH_SomMot_47,0.2883031714788658,0.08815882342063312
LH_SomMot_48,0.22379533652680011,0.18948701267522017
LH_SomMot_49,0.08458931113009041,0.6237767737624602
LH_SomMot_50,0.27157912229385106,0.1091013143230786
LH_SomMot_51,0.3455911102905025,0.03897409420996312
LH_SomMot_52,0.0887443416946513,0.6067683786345689
LH_SomMot_53,0.019149426042817268,0.9117339675960006
LH_SomMot_54,0.10012487404723296,0.561233086727877
LH_SomMot_55,-0.07783237029787042,0.6518463271840094
LH_SomMot_56,0.17315961081381426,0.3125209839472642
LH_SomMot_57,0.3385675007942995,0.04340375917192108
LH_SomMot_58,0.10854873872031015,0.5285810265444144
LH_SomMot_59,0.18637007568006414,0.27645097917861755
LH_SomMot_60,-0.2366631450617191,0.16462025038890574
LH_SomMot_61,0.17523850526335988,0.3066570030736524
LH_SomMot_62,0.07302165692220233,0.6721249857219717
LH_SomMot_63,0.14075273923922152,0.4129005764136051
LH_SomMot_64,0.2571391520559262,0.13003262333553042
LH_SomMot_65,-0.290031846421759,0.08618445040612656
LH_SomMot_66,0.2210901221821023,0.195034104563445
LH_SomMot_67,0.14613611845452568,0.3950741213852398
LH_SomMot_68,-0.1359375769368937,0.4292239023290434
LH_SomMot_69,0.08022206676386151,0.6418625747966528
LH_SomMot_70,-0.10353764568788935,0.5478930323571287
LH_SomMot_71,0.17824936086957874,0.29828851668108197
LH_SomMot_72,0.21343814628448315,0.21133751622480165
LH_SomMot_73,-0.1562065308843581,0.3629466866756711
LH_SomMot_74,0.13909266674542023,0.4184880982735374
LH_SomMot_75,-0.09669056960154333,0.5748068643489741
LH_SomMot_76,0.08775748078299672,0.6107901019577668
LH_SomMot_77,0.0967531215103786,0.5745583135150651
LH_SomMot_78,-0.038337557747574004,0.82432259050462
LH_SomMot_79,-0.14688069082029329,0.39264405966359694
LH_SomMot_80,0.17708552165540106,0.30150589455778937
LH_SomMot_81,0.10734334653113069,0.5331960107372693
LH_SomMot_82,-0.2876556746928128,0.08890724830457648
LH_SomMot_83,0.21835999384811033,0.20074659866464417
LH_SomMot_84,0.1792216293017901,0.2956175808699611
LH_SomMot_85,-0.08442461186514835,0.6244550030382905
LH_SomMot_86,0.09703367082553936,0.5734441450675059
LH_SomMot_87,-0.29589962477177184,0.07973623424474141
LH_SomMot_88,0.10940613586616788,0.5253102491700937
LH_SomMot_89,0.15325173175405127,0.3722070839140983
LH_SomMot_90,0.08342760740070931,0.6285671271251596
LH_SomMot_91,0.0963265584222464,0.5762542304511327
LH_DorsAttn_Post_1,0.12259551282005023,0.47627452409464655
LH_DorsAttn_Post_2,-0.014027376779503803,0.9352846200599348
LH_DorsAttn_Post_3,-0.005580555644862396,0.9742313331039243
LH_DorsAttn_Post_4,-0.20191160015893012,0.23763229261760274
LH_DorsAttn_Post_5,-0.006169148641940789,0.9715145079018734
LH_DorsAttn_Post_6,0.056089131033913636,0.7452463112189112
LH_DorsAttn_Post_7,0.12349935676023532,0.47300437858307276
LH_DorsAttn_Post_8,0.23949871295754635,0.15947203509921004
LH_DorsAttn_Post_9,-0.09780938567792528,0.5703685891193382
LH_DorsAttn_Post_10,-0.26494755221490096,0.11837318678820286
LH_DorsAttn_Post_11,-0.2117811880393443,0.21498821984678335
LH_DorsAttn_Post_12,-0.13916669688503774,0.41823802363908247
LH_DorsAttn_Post_13,0.11513243834840162,0.5037224628986212
LH_DorsAttn_Post_14,0.0938835638148719,0.5860101843296792
LH_DorsAttn_Post_15,0.3059271495486047,0.06959064091286288
LH_DorsAttn_Post_16,0.16222966575332767,0.3445016037378894
LH_DorsAttn_Post_17,-0.07951148419777465,0.6448249169631515
LH_DorsAttn_Post_18,-0.08722636791836173,0.6129591913389447
LH_DorsAttn_Post_19,-0.05469216806276744,0.7513884301537439
LH_DorsAttn_Post_20,-0.05409120704957489,0.7540353745645331
LH_DorsAttn_Post_21,-0.071009229436953,0.6806771008762331
LH_DorsAttn_Post_22,-0.007427749993970165,0.9657061583232139
LH_DorsAttn_Post_23,0.11442835121523771,0.5063524790160926
LH_DorsAttn_Post_24,0.004421432292943783,0.9795824165924863
LH_DorsAttn_Post_25,-0.15464273316347327,0.3678303685664239
LH_DorsAttn_Post_26,0.0051702756283051,0.9761252726770604
LH_DorsAttn_Post_27,-0.14877771314798963,0.38649199269071954
LH_DorsAttn_Post_28,0.1999662624877096,0.24227847830245125
LH_DorsAttn_Post_29,-0.07853903780849669,0.6488876767441825
LH_DorsAttn_Post_30,-0.1038738065862963,0.5465871728035885
LH_DorsAttn_Post_31,-0.13012149511466703,0.44940926316405894
LH_DorsAttn_Post_32,-0.2785056562103392,0.10001386248384819
LH_DorsAttn_Post_33,-0.07087585061569529,0.6812453168287678
LH_DorsAttn_Post_34,-0.08527408992155172,0.6209601341916744
LH_DorsAttn_Post_35,0.31020434763924126,0.06558398946448805
LH_DorsAttn_Post_36,0.0796659509313992,0.6441805015435296
LH_DorsAttn_Post_37,0.15180894483831017,0.37677915422604835
LH_DorsAttn_Post_38,-0.2569260484689265,0.13036233796181593
LH_DorsAttn_Post_39,0.18122248957772366,0.29016925965595164
LH_DorsAttn_Post_40,-0.05914972564018811,0.7318440075161778
LH_DorsAttn_Post_41,-0.09067917989895546,0.5989164063853173
LH_DorsAttn_Post_42,-0.1107301364400951,0.5202789926697079
LH_DorsAttn_Post_43,-0.19582760397325644,0.2523650274674829
LH_DorsAttn_Post_44,-0.507677520605388,0.0015743422755532073
LH_DorsAttn_Post_45,-0.33540084377645757,0.04552949299389302
LH_DorsAttn_Post_46,-0.06555075233963308,0.7040693237701254
LH_DorsAttn_Post_47,-0.03107157072695071,0.857236360989533
LH_DorsAttn_Post_48,-0.07844970336116999,0.6492614081482555
LH_DorsAttn_Post_49,-0.24034970364901395,0.15794993065208499
LH_DorsAttn_Post_50,-0.041148300632640133,0.8116659273022344
LH_DorsAttn_FEF_1,0.08427806422097772,0.6250587398077979
LH_DorsAttn_FEF_2,-0.07855665555806919,0.6488139827057972
LH_DorsAttn_FEF_3,0.12598666267714062,0.4640664644426443
LH_DorsAttn_FEF_4,-0.034037047281241094,0.8437713049332307
LH_DorsAttn_FEF_5,-0.05813821767483845,0.7362649697329325
LH_DorsAttn_FEF_6,-0.057145929072659085,0.7406100503203703
LH_DorsAttn_FEF_7,-0.30308917923238177,0.07235329499876442
LH_DorsAttn_PrCv_1,0.1701938673239247,0.3210077533976858
LH_DorsAttn_PrCv_2,0.05366473293997634,0.7559154657423508
LH_DorsAttn_PrCv_3,0.16238564512201703,0.34403166190026
LH_DorsAttn_PrCv_4,0.008611164485450813,0.9602463698910935
LH_SalVentAttn_ParOper_1,0.028655625593667126,0.8682358002832544
LH_SalVentAttn_ParOper_2,0.18491892478220254,0.2802747838554932
LH_SalVentAttn_ParOper_3,-0.040282094611996284,0.8155615671106644
LH_SalVentAttn_ParOper_4,0.022418942245031583,0.8967384434456003
